Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,5255 (1802),106.67364414843007 (-104.9224042447883),4198 (517),179.18199142448785 (-177.29535303636484),9688 (4397),133.03844962840628 (-131.06219829720288)
Original,5293 (1764),107.5162478745513 (-105.76500797090952),4209 (506),180.6591827037301 (-178.7725443156071),9903 (4182),132.0083812985964 (-130.032129967393)
Original,5404 (1653),106.84326424870466 (-105.09202434506288),4233 (482),181.35672100165368 (-179.47008261353068),10150 (3935),130.53497536945812 (-128.55872403825472)
Original,5422 (1635),108.18637034304685 (-106.43513043940507),4242 (473),182.92326732673268 (-181.03662893860968),10165 (3920),132.2777668470241 (-130.3015155158207)
Original,5452 (1605),109.19965150403522 (-107.44841160039344),4245 (470),184.74369846878682 (-182.8570600806638),10175 (3910),134.0457493857494 (-132.069498054546)
Original,5469 (1588),110.55412324008046 (-108.80288333643868),4245 (470),186.69210836277975 (-184.80546997465675),10206 (3879),135.53953556731335 (-133.56328423610995)
Original,5488 (1569),111.85951166180757 (-110.1082717581658),4257 (458),188.1155743481325 (-186.2289359600095),10308 (3777),136.139503298409 (-134.1632519672056)
Original,5501 (1556),113.19805489910925 (-111.44681499546748),4257 (458),190.06189805027014 (-188.17525966214714),10322 (3763),137.87676806820383 (-135.90051673700043)
Original,5502 (1555),114.85041802980734 (-113.09917812616557),4257 (458),192.0082217524078 (-190.1215833642848),10340 (3745),139.58510638297872 (-137.60885505177532)
Original,5507 (1550),116.44334483384783 (-114.69210493020606),4259 (456),193.86440478985676 (-191.97776640173376),10340 (3745),141.53172147001933 (-139.55547013881593)
Original,5542 (1515),117.40211115120896 (-115.65087124756718),4268 (447),195.337160262418 (-193.450521874295),10402 (3683),142.50355700826765 (-140.52730567706425)
Original,5570 (1487),118.52082585278276 (-116.76958594914099),4272 (443),197.05266853932585 (-195.16603015120285),10514 (3571),142.7676431424767 (-140.7913918112733)
Original,5625 (1432),119.00008888888888 (-117.24884898524711),4272 (443),199.0010533707865 (-197.1144149826635),10556 (3529),143.94017620310723 (-141.96392487190383)
Original,5724 (1333),118.243535988819 (-116.49229608517723),4304 (411),199.4681691449814 (-197.5815307568584),10640 (3445),144.621992481203 (-142.6457411499996)
Original,5753 (1304),119.33999652355293 (-117.58875661991115),4311 (404),201.08397123637207 (-199.19733284824906),10784 (3301),144.6211980712166 (-142.6449467400132)
Original,5757 (1300),120.96578078860517 (-119.2145408849634),4312 (403),202.97530148423004 (-201.08866309610704),10881 (3204),145.15209999080966 (-143.17584865960626)
Original,5764 (1293),122.52975364330327 (-120.77851373966149),4313 (402),204.86575469510782 (-202.97911630698482),10928 (3157),146.39517752562224 (-144.41892619441884)
Original,5771 (1286),124.0903656212095 (-122.33912571756773),4314 (401),206.75579508576726 (-204.86915669764426),11061 (3024),146.5587650302866 (-144.5825136990832)
Original,5784 (1273),125.47276970954357 (-123.7215298059018),4314 (401),208.69309225776541 (-206.8064538696424),11135 (2950),147.55078581050742 (-145.57453447930402)
