Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,26581,7057,4715,14085,724
Original,19302 (7279; 27.4%),5144 (1913; 27.1%),4171 (544; 11.5%),9430 (4655; 33.0%),557 (167; 23.1%)
Original,19470 (7111; 26.8%),5180 (1877; 26.6%),4171 (544; 11.5%),9562 (4523; 32.1%),557 (167; 23.1%)
Original,19503 (7078; 26.6%),5194 (1863; 26.4%),4171 (544; 11.5%),9581 (4504; 32.0%),557 (167; 23.1%)
Original,19513 (7068; 26.6%),5197 (1860; 26.4%),4176 (539; 11.4%),9583 (4502; 32.0%),557 (167; 23.1%)
Original,19548 (7033; 26.5%),5208 (1849; 26.2%),4178 (537; 11.4%),9605 (4480; 31.8%),557 (167; 23.1%)
Original,19576 (7005; 26.4%),5220 (1837; 26.0%),4181 (534; 11.3%),9618 (4467; 31.7%),557 (167; 23.1%)
Original,19609 (6972; 26.2%),5233 (1824; 25.8%),4183 (532; 11.3%),9636 (4449; 31.6%),557 (167; 23.1%)
Original,19641 (6940; 26.1%),5235 (1822; 25.8%),4183 (532; 11.3%),9665 (4420; 31.4%),558 (166; 22.9%)
Original,19654 (6927; 26.1%),5241 (1816; 25.7%),4185 (530; 11.2%),9670 (4415; 31.3%),558 (166; 22.9%)
Original,19675 (6906; 26.0%),5250 (1807; 25.6%),4190 (525; 11.1%),9677 (4408; 31.3%),558 (166; 22.9%)
Original,19684 (6897; 25.9%),5250 (1807; 25.6%),4198 (517; 11.0%),9678 (4407; 31.3%),558 (166; 22.9%)
Original,19699 (6882; 25.9%),5255 (1802; 25.5%),4198 (517; 11.0%),9688 (4397; 31.2%),558 (166; 22.9%)
Original,19968 (6613; 24.9%),5293 (1764; 25.0%),4209 (506; 10.7%),9903 (4182; 29.7%),563 (161; 22.2%)
Original,20350 (6231; 23.4%),5404 (1653; 23.4%),4233 (482; 10.2%),10150 (3935; 27.9%),563 (161; 22.2%)
Original,20392 (6189; 23.3%),5422 (1635; 23.2%),4242 (473; 10.0%),10165 (3920; 27.8%),563 (161; 22.2%)
Original,20436 (6145; 23.1%),5452 (1605; 22.7%),4245 (470; 10.0%),10175 (3910; 27.8%),564 (160; 22.1%)
Original,20502 (6079; 22.9%),5469 (1588; 22.5%),4245 (470; 10.0%),10206 (3879; 27.5%),582 (142; 19.6%)
Original,20636 (5945; 22.4%),5488 (1569; 22.2%),4257 (458; 9.7%),10308 (3777; 26.8%),583 (141; 19.5%)
Original,20663 (5918; 22.3%),5501 (1556; 22.0%),4257 (458; 9.7%),10322 (3763; 26.7%),583 (141; 19.5%)
Original,20682 (5899; 22.2%),5502 (1555; 22.0%),4257 (458; 9.7%),10340 (3745; 26.6%),583 (141; 19.5%)
Original,20689 (5892; 22.2%),5507 (1550; 22.0%),4259 (456; 9.7%),10340 (3745; 26.6%),583 (141; 19.5%)
Original,20795 (5786; 21.8%),5542 (1515; 21.5%),4268 (447; 9.5%),10402 (3683; 26.1%),583 (141; 19.5%)
Original,20939 (5642; 21.2%),5570 (1487; 21.1%),4272 (443; 9.4%),10514 (3571; 25.4%),583 (141; 19.5%)
Original,21036 (5545; 20.9%),5625 (1432; 20.3%),4272 (443; 9.4%),10556 (3529; 25.1%),583 (141; 19.5%)
Original,21255 (5326; 20.0%),5724 (1333; 18.9%),4304 (411; 8.7%),10640 (3445; 24.5%),587 (137; 18.9%)
Original,21435 (5146; 19.4%),5753 (1304; 18.5%),4311 (404; 8.6%),10784 (3301; 23.4%),587 (137; 18.9%)
Original,21537 (5044; 19.0%),5757 (1300; 18.4%),4312 (403; 8.5%),10881 (3204; 22.7%),587 (137; 18.9%)
Original,21592 (4989; 18.8%),5764 (1293; 18.3%),4313 (402; 8.5%),10928 (3157; 22.4%),587 (137; 18.9%)
Original,21744 (4837; 18.2%),5771 (1286; 18.2%),4314 (401; 8.5%),11061 (3024; 21.5%),598 (126; 17.4%)
Original,21832 (4749; 17.9%),5784 (1273; 18.0%),4314 (401; 8.5%),11135 (2950; 20.9%),599 (125; 17.3%)
Original,22172 (4409; 16.6%),5848 (1209; 17.1%),4324 (391; 8.3%),11399 (2686; 19.1%),601 (123; 17.0%)
Original,22276 (4305; 16.2%),5858 (1199; 17.0%),4324 (391; 8.3%),11493 (2592; 18.4%),601 (123; 17.0%)
Original,22429 (4152; 15.6%),5911 (1146; 16.2%),4340 (375; 8.0%),11576 (2509; 17.8%),602 (122; 16.9%)
Original,23022 (3559; 13.4%),6101 (956; 13.5%),4394 (321; 6.8%),11903 (2182; 15.5%),624 (100; 13.8%)
Original,24158 (2423; 9.1%),6458 (599; 8.5%),4543 (172; 3.6%),12476 (1609; 11.4%),681 (43; 5.9%)
Original,24373 (2208; 8.3%),6510 (547; 7.8%),4552 (163; 3.5%),12627 (1458; 10.4%),684 (40; 5.5%)
Original,24506 (2075; 7.8%),6575 (482; 6.8%),4568 (147; 3.1%),12679 (1406; 10.0%),684 (40; 5.5%)
Original,24631 (1950; 7.3%),6584 (473; 6.7%),4575 (140; 3.0%),12785 (1300; 9.2%),687 (37; 5.1%)
Original,25175 (1406; 5.3%),6768 (289; 4.1%),4626 (89; 1.9%),13082 (1003; 7.1%),699 (25; 3.5%)
Original,25350 (1231; 4.6%),6810 (247; 3.5%),4650 (65; 1.4%),13183 (902; 6.4%),707 (17; 2.3%)
Original,25649 (932; 3.5%),6849 (208; 2.9%),4680 (35; 0.7%),13399 (686; 4.9%),721 (3; 0.4%)
