Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1805 (4255),66.05484764542936 (-64.40889054971979),1347 (473),123.25426874536006 (-121.38338962448094),1740 (3456),88.05028735632185 (-86.57521037402778)
Original,1816 (4244),67.1453744493392 (-65.49941735362962),1347 (473),124.98478099480327 (-123.11390187392415),1767 (3429),88.2159026598755 (-86.74082567758143)
Original,1844 (4216),67.63584598698482 (-65.98988889127524),1347 (473),126.71529324424647 (-124.84441412336734),1770 (3426),89.54406779661016 (-88.0689908143161)
Original,1861 (4199),68.5397635679742 (-66.89380647226463),1347 (473),128.44580549368968 (-126.57492637281055),1777 (3419),90.67163759144626 (-89.19656060915219)
Original,1898 (4162),68.71654373024236 (-67.07058663453279),1351 (469),129.79533678756476 (-127.92445766668564),1784 (3412),91.7984865470852 (-90.32340956479113)
Original,1926 (4134),69.13161993769471 (-67.48566284198513),1351 (469),131.52294596595115 (-129.65206684507203),1786 (3410),93.17273236282195 (-91.69765538052788)
Original,1940 (4120),70.1479381443299 (-68.50198104862032),1351 (469),133.25055514433754 (-131.37967602345842),1794 (3402),94.23272017837235 (-92.75764319607828)
Original,1959 (4101),70.98876978050025 (-69.34281268479067),1358 (462),134.29933726067748 (-132.42845813979835),1803 (3393),95.24597892401553 (-93.77090194172146)
Original,1983 (4077),71.65859808371155 (-70.01264098800198),1358 (462),136.02650957290132 (-134.1556304520222),1803 (3393),96.72407099278979 (-95.24899401049572)
Original,1995 (4065),72.74761904761905 (-71.10166195190948),1358 (462),137.7536818851252 (-135.88280276424607),1809 (3387),97.88032061912659 (-96.40524363683252)
Original,2003 (4057),73.9735396904643 (-72.32758259475473),1365 (455),138.77509157509158 (-136.90421245421246),1813 (3383),99.1412024269167 (-97.66612544462264)
Original,2025 (4035),74.69432098765432 (-73.04836389194475),1365 (455),140.4981684981685 (-138.62728937728937),1824 (3372),100.02138157894737 (-98.5463045966533)
Original,2095 (3965),73.6744630071599 (-72.02850591145032),1365 (455),142.2212454212454 (-140.3503663003663),1841 (3355),100.57550244432373 (-99.10042546202966)
Original,2152 (3908),73.31598513011153 (-71.67002803440195),1375 (445),142.936 (-141.06512087912088),1865 (3331),100.77774798927614 (-99.30267100698207)
Original,2161 (3899),74.55043961129107 (-72.90448251558149),1375 (445),144.67054545454545 (-142.79966633366632),1869 (3327),102.0334403424291 (-100.55836336013503)
Original,2168 (3892),75.83879151291512 (-74.19283441720555),1375 (445),146.40509090909092 (-144.5342117882118),1869 (3327),103.50428036383093 (-102.02920338153686)
Original,2187 (3873),76.54069501600365 (-74.89473792029408),1375 (445),148.13963636363636 (-146.26875724275723),1882 (3314),104.17720510095643 (-102.70212811866236)
Original,2224 (3836),76.60791366906474 (-74.96195657335517),1375 (445),149.87418181818182 (-148.0033026973027),1889 (3307),105.26071995764956 (-103.78564297535549)
Original,2273 (3787),76.47316322041355 (-74.82720612470398),1388 (432),150.22766570605188 (-148.35678658517276),1891 (3305),106.4246430460074 (-104.94956606371333)
Original,2312 (3748),76.73983564013841 (-75.09387854442883),1388 (432),151.96541786743515 (-150.09453874655603),1900 (3296),107.39131578947368 (-105.91623880717961)
Original,2553 (3507),70.70289855072464 (-69.05694145501506),1432 (388),148.97870111731842 (-147.1078219964393),2042 (3154),101.3388834476004 (-99.86380646530633)
Original,2731 (3329),66.9456243134383 (-65.29966721772873),1455 (365),148.41168384879725 (-146.54080472791813),2660 (2536),79.57575187969925 (-78.10067489740518)
Original,2743 (3317),68.00255195041925 (-66.35659485470967),1455 (365),149.92302405498282 (-148.0521449341037),2660 (2536),81.05338345864662 (-79.57830647635255)
Original,2743 (3317),69.52551950419249 (-67.87956240848291),1455 (365),151.69553264604812 (-149.824653525169),2661 (2535),82.5022547914318 (-81.02717780913773)
Original,2766 (3294),70.4206435285611 (-68.77468643285152),1455 (365),153.4680412371134 (-151.59716211623427),2671 (2525),83.67128416323474 (-82.19620718094068)
Original,2780 (3280),71.56672661870503 (-69.92076952299546),1461 (359),154.61533196440794 (-152.74445284352882),2686 (2510),84.67963514519732 (-83.20455816290325)
Original,2784 (3276),72.99766522988506 (-71.35170813417548),1461 (359),156.38672142368242 (-154.5158423028033),2686 (2510),86.15096798212956 (-84.67589099983549)
Original,2788 (3272),74.39365136298422 (-72.74769426727464),1461 (359),158.1581108829569 (-156.28723176207777),2695 (2501),87.34155844155845 (-85.86648145926438)
Original,2796 (3264),75.689556509299 (-74.04359941358942),1461 (359),159.92950034223134 (-158.0586212213522),2695 (2501),88.8139146567718 (-87.33883767447773)
Original,2806 (3254),76.96222380612973 (-75.31626671042015),1461 (359),161.7008898015058 (-159.83001068062669),2695 (2501),90.28627087198515 (-88.81119388969108)
Original,2808 (3252),78.4417735042735 (-76.79581640856392),1461 (359),163.47227926078028 (-161.60140013990116),2695 (2501),91.75862708719852 (-90.28355010490445)
Original,2808 (3252),79.97578347578347 (-78.3298263800739),1461 (359),165.24366872005476 (-163.37278959917563),2702 (2494),93.00684678016285 (-91.53176979786878)
Original,2995 (3065),76.25075125208681 (-74.60479415637724),1463 (357),166.7881066302119 (-164.91722750933278),2759 (2437),92.62377673069953 (-91.14869974840546)
