Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1181 (653),93.40728196443692 (-91.64992100478588),381 (88),96.91207349081365 (-95.0591950259949),740 (1625),77.02432432432433 (-75.53616364779155)
Original,1201 (633),93.61240632805995 (-91.85504536840891),390 (79),96.43333333333334 (-94.58045486851458),740 (1625),78.43986486486486 (-76.95170418833209)
Original,1207 (627),94.96934548467274 (-93.2119845250217),390 (79),98.11282051282052 (-96.25994204800176),742 (1623),79.6644204851752 (-78.17625980864243)
Original,1218 (616),95.96428571428571 (-94.20692475463467),390 (79),99.79230769230769 (-97.93942922748893),742 (1623),81.0822102425876 (-79.59404956605484)
Original,1260 (574),94.64761904761905 (-92.89025808796801),410 (59),95.12926829268292 (-93.27638982786416),949 (1416),65.24341412012645 (-63.75525344359367)
Original,1260 (574),96.46269841269842 (-94.70533745304738),412 (57),96.40169902912622 (-94.54882056430746),957 (1408),66.1760710553814 (-64.68791037884863)
Original,1268 (566),97.53864353312302 (-95.78128257347198),412 (57),98.11771844660194 (-96.26483998178318),1063 (1302),61.17027281279398 (-59.68211213626121)
Original,1268 (566),99.35488958990537 (-97.59752863025433),421 (48),97.86817102137768 (-96.01529255655892),1063 (1302),62.62935089369709 (-61.141190217164315)
Original,1271 (563),100.93627065302911 (-99.17890969337807),425 (44),98.74588235294118 (-96.89300388812242),1111 (1254),61.49144914491449 (-60.00328846838172)
Original,1289 (545),101.36695112490303 (-99.60959016525199),433 (36),98.76558891454965 (-96.9127104497309),1167 (1198),60.10239931448157 (-58.6142386379488)
Original,1291 (543),103.0271107668474 (-101.26974980719636),433 (36),100.55773672055427 (-98.70485825573552),1209 (1156),59.51943755169562 (-58.031276875162845)
Original,1297 (537),104.36545875096377 (-102.60809779131273),433 (36),102.3498845265589 (-100.49700606174014),1260 (1105),58.69047619047619 (-57.20231551394342)
Original,1300 (534),105.93346153846154 (-104.1761005788105),433 (36),104.14203233256352 (-102.28915386774476),1383 (982),55.08676789587852 (-53.59860721934575)
Original,1305 (529),107.3360153256705 (-105.57865436601946),435 (34),105.45172413793104 (-103.59884567311228),1383 (982),56.57592190889371 (-55.08776123236094)
Original,1309 (525),108.81168831168831 (-107.05432735203728),435 (34),107.23793103448276 (-105.385052569664),1384 (981),58.02312138728324 (-56.53496071075047)
Original,1324 (510),109.38708459214502 (-107.62972363249398),439 (30),108.04441913439635 (-106.19154066957759),1388 (977),59.35266570605187 (-57.8645050295191)
Original,1362 (472),108.2132892804699 (-106.45592832081886),442 (27),109.09841628959276 (-107.245537824774),1399 (966),60.40100071479628 (-58.91284003826351)
Original,1366 (468),109.7214494875549 (-107.96408852790387),442 (27),110.87443438914028 (-109.02155592432152),1445 (920),60.00069204152249 (-58.51253136498972)
Original,1368 (466),111.38048245614036 (-109.62312149648932),442 (27),112.65045248868778 (-110.79757402386902),1495 (870),59.54983277591973 (-58.06167209938696)
Original,1378 (456),112.38606676342525 (-110.62870580377421),446 (23),113.47421524663677 (-111.62133678181802),1502 (863),60.78528628495339 (-59.29712560842062)
Original,1381 (453),113.95076031860971 (-112.19339935895867),452 (17),113.88716814159292 (-112.03428967677416),1543 (822),60.791639662994164 (-59.30347898646139)
Original,1391 (443),114.97232207045292 (-113.21496111080188),452 (17),115.70907079646018 (-113.85619233164142),1569 (796),61.38081580624602 (-59.89265512971325)
Original,1456 (378),111.76785714285714 (-110.0104961832061),454 (15),117.01982378854626 (-115.1669453237275),1569 (796),62.88559592096877 (-61.397435244436)
Original,1468 (366),112.63726158038148 (-110.87990062073044),460 (9),117.32934782608696 (-115.4764693612682),1576 (789),64.11516497461929 (-62.62700429808652)
Original,1479 (355),113.56930358350236 (-111.81194262385132),460 (9),119.14347826086957 (-117.29059979605081),1576 (789),65.61865482233503 (-64.13049414580226)
Original,1493 (341),114.26523777628935 (-112.50787681663832),460 (9),120.95760869565217 (-119.10473023083341),1584 (781),66.79577020202021 (-65.30760952548744)
Original,1529 (305),113.50032701111837 (-111.74296605146733),460 (9),122.77173913043478 (-120.91886066561602),1584 (781),68.29797979797979 (-66.80981912144702)
