Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,4744,1834,469,2365,76
Original,2815 (1929; 40.7%),1268 (566; 30.9%),421 (48; 10.2%),1063 (1302; 55.1%),63 (13; 17.1%)
Original,2870 (1874; 39.5%),1271 (563; 30.7%),425 (44; 9.4%),1111 (1254; 53.0%),63 (13; 17.1%)
Original,2952 (1792; 37.8%),1289 (545; 29.7%),433 (36; 7.7%),1167 (1198; 50.7%),63 (13; 17.1%)
Original,2996 (1748; 36.8%),1291 (543; 29.6%),433 (36; 7.7%),1209 (1156; 48.9%),63 (13; 17.1%)
Original,3054 (1690; 35.6%),1297 (537; 29.3%),433 (36; 7.7%),1260 (1105; 46.7%),64 (12; 15.8%)
Original,3180 (1564; 33.0%),1300 (534; 29.1%),433 (36; 7.7%),1383 (982; 41.5%),64 (12; 15.8%)
Original,3187 (1557; 32.8%),1305 (529; 28.8%),435 (34; 7.2%),1383 (982; 41.5%),64 (12; 15.8%)
Original,3192 (1552; 32.7%),1309 (525; 28.6%),435 (34; 7.2%),1384 (981; 41.5%),64 (12; 15.8%)
Original,3215 (1529; 32.2%),1324 (510; 27.8%),439 (30; 6.4%),1388 (977; 41.3%),64 (12; 15.8%)
Original,3267 (1477; 31.1%),1362 (472; 25.7%),442 (27; 5.8%),1399 (966; 40.8%),64 (12; 15.8%)
Original,3318 (1426; 30.1%),1366 (468; 25.5%),442 (27; 5.8%),1445 (920; 38.9%),65 (11; 14.5%)
Original,3370 (1374; 29.0%),1368 (466; 25.4%),442 (27; 5.8%),1495 (870; 36.8%),65 (11; 14.5%)
Original,3391 (1353; 28.5%),1378 (456; 24.9%),446 (23; 4.9%),1502 (863; 36.5%),65 (11; 14.5%)
Original,3442 (1302; 27.4%),1381 (453; 24.7%),452 (17; 3.6%),1543 (822; 34.8%),66 (10; 13.2%)
Original,3478 (1266; 26.7%),1391 (443; 24.2%),452 (17; 3.6%),1569 (796; 33.7%),66 (10; 13.2%)
Original,3545 (1199; 25.3%),1456 (378; 20.6%),454 (15; 3.2%),1569 (796; 33.7%),66 (10; 13.2%)
