Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,9179,4768,1819,2483,109
Original,6129 (3050; 33.2%),2526 (2242; 47.0%),1611 (208; 11.4%),1892 (591; 23.8%),100 (9; 8.3%)
Original,6137 (3042; 33.1%),2534 (2234; 46.9%),1611 (208; 11.4%),1892 (591; 23.8%),100 (9; 8.3%)
Original,6152 (3027; 33.0%),2549 (2219; 46.5%),1611 (208; 11.4%),1892 (591; 23.8%),100 (9; 8.3%)
Original,6162 (3017; 32.9%),2559 (2209; 46.3%),1611 (208; 11.4%),1892 (591; 23.8%),100 (9; 8.3%)
Original,6168 (3011; 32.8%),2565 (2203; 46.2%),1611 (208; 11.4%),1892 (591; 23.8%),100 (9; 8.3%)
Original,6172 (3007; 32.8%),2569 (2199; 46.1%),1611 (208; 11.4%),1892 (591; 23.8%),100 (9; 8.3%)
Original,6176 (3003; 32.7%),2570 (2198; 46.1%),1614 (205; 11.3%),1892 (591; 23.8%),100 (9; 8.3%)
Original,6217 (2962; 32.3%),2589 (2179; 45.7%),1618 (201; 11.1%),1908 (575; 23.2%),102 (7; 6.4%)
Original,6229 (2950; 32.1%),2592 (2176; 45.6%),1619 (200; 11.0%),1916 (567; 22.8%),102 (7; 6.4%)
Original,6230 (2949; 32.1%),2593 (2175; 45.6%),1619 (200; 11.0%),1916 (567; 22.8%),102 (7; 6.4%)
Original,6260 (2919; 31.8%),2622 (2146; 45.0%),1620 (199; 10.9%),1916 (567; 22.8%),102 (7; 6.4%)
Original,6267 (2912; 31.7%),2627 (2141; 44.9%),1622 (197; 10.8%),1916 (567; 22.8%),102 (7; 6.4%)
Original,6273 (2906; 31.7%),2633 (2135; 44.8%),1622 (197; 10.8%),1916 (567; 22.8%),102 (7; 6.4%)
Original,6277 (2902; 31.6%),2637 (2131; 44.7%),1622 (197; 10.8%),1916 (567; 22.8%),102 (7; 6.4%)
Original,6278 (2901; 31.6%),2638 (2130; 44.7%),1622 (197; 10.8%),1916 (567; 22.8%),102 (7; 6.4%)
Original,6293 (2886; 31.4%),2650 (2118; 44.4%),1625 (194; 10.7%),1916 (567; 22.8%),102 (7; 6.4%)
Original,6299 (2880; 31.4%),2656 (2112; 44.3%),1625 (194; 10.7%),1916 (567; 22.8%),102 (7; 6.4%)
Original,6317 (2862; 31.2%),2674 (2094; 43.9%),1625 (194; 10.7%),1916 (567; 22.8%),102 (7; 6.4%)
Original,6364 (2815; 30.7%),2720 (2048; 43.0%),1625 (194; 10.7%),1917 (566; 22.8%),102 (7; 6.4%)
Original,6375 (2804; 30.5%),2731 (2037; 42.7%),1625 (194; 10.7%),1917 (566; 22.8%),102 (7; 6.4%)
Original,6398 (2781; 30.3%),2746 (2022; 42.4%),1628 (191; 10.5%),1922 (561; 22.6%),102 (7; 6.4%)
Original,6434 (2745; 29.9%),2782 (1986; 41.7%),1628 (191; 10.5%),1922 (561; 22.6%),102 (7; 6.4%)
Original,6471 (2708; 29.5%),2817 (1951; 40.9%),1628 (191; 10.5%),1924 (559; 22.5%),102 (7; 6.4%)
Original,6508 (2671; 29.1%),2845 (1923; 40.3%),1637 (182; 10.0%),1924 (559; 22.5%),102 (7; 6.4%)
Original,6653 (2526; 27.5%),2971 (1797; 37.7%),1654 (165; 9.1%),1926 (557; 22.4%),102 (7; 6.4%)
Original,6659 (2520; 27.5%),2976 (1792; 37.6%),1654 (165; 9.1%),1927 (556; 22.4%),102 (7; 6.4%)
Original,6671 (2508; 27.3%),2981 (1787; 37.5%),1657 (162; 8.9%),1931 (552; 22.2%),102 (7; 6.4%)
Original,6674 (2505; 27.3%),2984 (1784; 37.4%),1657 (162; 8.9%),1931 (552; 22.2%),102 (7; 6.4%)
Original,6686 (2493; 27.2%),2985 (1783; 37.4%),1658 (161; 8.9%),1941 (542; 21.8%),102 (7; 6.4%)
Original,6693 (2486; 27.1%),2985 (1783; 37.4%),1662 (157; 8.6%),1944 (539; 21.7%),102 (7; 6.4%)
Original,6743 (2436; 26.5%),3024 (1744; 36.6%),1669 (150; 8.2%),1948 (535; 21.5%),102 (7; 6.4%)
Original,6756 (2423; 26.4%),3036 (1732; 36.3%),1669 (150; 8.2%),1949 (534; 21.5%),102 (7; 6.4%)
Original,6770 (2409; 26.2%),3046 (1722; 36.1%),1673 (146; 8.0%),1949 (534; 21.5%),102 (7; 6.4%)
Original,6776 (2403; 26.2%),3051 (1717; 36.0%),1673 (146; 8.0%),1950 (533; 21.5%),102 (7; 6.4%)
Original,6821 (2358; 25.7%),3090 (1678; 35.2%),1679 (140; 7.7%),1950 (533; 21.5%),102 (7; 6.4%)
Original,6837 (2342; 25.5%),3095 (1673; 35.1%),1690 (129; 7.1%),1950 (533; 21.5%),102 (7; 6.4%)
Original,6852 (2327; 25.4%),3102 (1666; 34.9%),1698 (121; 6.7%),1950 (533; 21.5%),102 (7; 6.4%)
Original,6872 (2307; 25.1%),3119 (1649; 34.6%),1700 (119; 6.5%),1950 (533; 21.5%),103 (6; 5.5%)
