Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1857 (3418),104.6389337641357 (-102.880071204894),1734 (614),146.12312572087657 (-144.38803202411336),2083 (1107),130.2177148343735 (-128.57978379989075)
Original,1873 (3402),105.38387613454351 (-103.62501357530181),1737 (611),147.42890040299366 (-145.69380670623045),2083 (1107),131.76668266922707 (-130.1287516347443)
Original,1898 (3377),105.64936775553214 (-103.89050519629043),1738 (610),148.9013233601841 (-147.1662296634209),2083 (1107),133.31565050408065 (-131.6777194695979)
Original,1907 (3368),106.77818563188254 (-105.01932307264083),1738 (610),150.45857307249713 (-148.72347937573392),2083 (1107),134.86461833893424 (-133.22668730445147)
Original,1948 (3327),106.20354209445586 (-104.44467953521415),1738 (610),152.01582278481013 (-150.2807290880469),2083 (1107),136.41358617378782 (-134.77565513930506)
Original,1960 (3315),107.19234693877551 (-105.43348437953381),1740 (608),153.39655172413794 (-151.66145802737472),2083 (1107),137.96255400864138 (-136.32462297415861)
Original,1976 (3299),107.95546558704453 (-106.19660302780282),1748 (600),154.2628718535469 (-152.52777815678368),2084 (1106),139.4464971209213 (-137.80856608643853)
Original,1986 (3289),109.04909365558912 (-107.29023109634741),1748 (600),155.8212242562929 (-154.0861305595297),2084 (1106),140.99568138195778 (-139.35775034747502)
Original,1989 (3286),110.51533433886375 (-108.75647177962205),1751 (597),157.12364363221016 (-155.38854993544695),2084 (1106),142.54486564299424 (-140.90693460851148)
Original,1999 (3276),111.59854927463732 (-109.83968671539562),1753 (595),158.50513405590416 (-156.77004035914095),2085 (1105),144.02494004796162 (-142.38700901347886)
Original,2023 (3252),111.88507167572911 (-110.1262091164874),1756 (592),159.79299544419135 (-158.05790174742813),2085 (1105),145.57338129496404 (-143.93545026048128)
Original,2036 (3239),112.82809430255402 (-111.06923174331232),1757 (591),161.26067159931702 (-159.5255779025538),2087 (1103),146.98179204599904 (-145.34386101151628)
Original,2060 (3215),113.17766990291263 (-111.41880734367092),1759 (589),162.63587265491756 (-160.90077895815435),2096 (1094),147.90625 (-146.26831896551724)
Original,2161 (3114),109.62795002313743 (-107.86908746389572),1759 (589),164.19329164297898 (-162.45819794621576),2111 (1079),148.4230222643297 (-146.78509122984693)
Original,2177 (3098),110.49816260909509 (-108.73930004985338),1759 (589),165.75071063104036 (-164.01561693427715),2112 (1078),149.9057765151515 (-148.26784548066874)
Original,2180 (3095),112.00940366972478 (-110.25054111048307),1759 (589),167.30812961910175 (-165.57303592233853),2112 (1078),151.45833333333334 (-149.82040229885058)
Original,2189 (3086),113.21242576518958 (-111.45356320594787),1762 (586),168.5916572077185 (-166.85656351095528),2112 (1078),153.01089015151516 (-151.3729591170324)
Original,2207 (3068),113.96216583597644 (-112.20330327673473),1762 (586),170.1532349602724 (-168.4181412635092),2112 (1078),154.56344696969697 (-152.9255159352142)
Original,2209 (3066),115.52014486192847 (-113.76128230268677),1762 (586),171.71481271282633 (-169.97971901606311),2120 (1070),155.54292452830188 (-153.90499349381912)
Original,2215 (3060),116.87516930022574 (-115.11630674098403),1762 (586),173.27639046538025 (-171.54129676861703),2120 (1070),157.09764150943397 (-155.4597104749512)
Original,2224 (3051),118.07306654676259 (-116.31420398752088),1762 (586),174.83796821793416 (-173.10287452117095),2120 (1070),158.65235849056603 (-157.01442745608327)
Original,2228 (3047),119.52603231597845 (-117.76716975673675),1762 (586),176.39954597048808 (-174.66445227372486),2120 (1070),160.20707547169812 (-158.56914443721536)
Original,2234 (3041),120.81915846016115 (-119.06029590091944),1762 (586),177.961123723042 (-176.22603002627878),2125 (1065),161.07717647058823 (-159.43924543610547)
Original,2265 (3010),120.48211920529802 (-118.72325664605631),1766 (582),178.79671574178934 (-177.06162204502613),2160 (1030),159.45277777777778 (-157.81484674329502)
Original,2323 (2952),118.89431769263884 (-117.13545513339713),1773 (575),179.67033276931755 (-177.93523907255434),2198 (992),158.26819836214742 (-156.63026732766465)
Original,2362 (2913),118.56985605419136 (-116.81099349494966),1790 (558),179.57122905027933 (-177.8361353535161),2208 (982),159.12092391304347 (-157.4829928785607)
Original,2405 (2870),118.1022869022869 (-116.3434243430452),1824 (524),177.82483552631578 (-176.08974182955257),2222 (968),159.70184518451845 (-158.06391415003569)
Original,2451 (2824),117.59730722154222 (-115.83844466230052),1833 (515),178.42416803055102 (-176.6890743337878),2222 (968),161.26890189018903 (-159.63097085570627)
Original,2452 (2823),119.23103588907014 (-117.47217332982844),1833 (515),180.00927441352974 (-178.27418071676652),2222 (968),162.83595859585958 (-161.19802756137682)
Original,2456 (2819),120.71701954397395 (-118.95815698473224),1841 (507),180.8188484519283 (-179.08375475516507),2222 (968),164.40301530153016 (-162.7650842670474)
Original,2460 (2815),122.20792682926829 (-120.44906427002658),1841 (507),182.4106463878327 (-180.6755526910695),2222 (968),165.9700720072007 (-164.33214097271795)
Original,2462 (2813),123.7770105605199 (-122.01814800127819),1841 (507),184.0024443237371 (-182.2673506269739),2222 (968),167.5371287128713 (-165.89919767838853)
Original,2472 (2803),124.94457928802589 (-123.18571672878419),1842 (506),185.50054288816503 (-183.7654491914018),2222 (968),169.10418541854185 (-167.46625438405908)
Original,2476 (2799),126.42084006462035 (-124.66197750537864),1847 (501),186.6080129940444 (-184.8729192972812),2222 (968),170.67124212421243 (-169.03331108972966)
Original,2510 (2765),126.35896414342629 (-124.60010158418459),1854 (494),187.51456310679612 (-185.7794694100329),2222 (968),172.23829882988298 (-170.60036779540022)
Original,2517 (2758),127.69686134286849 (-125.93799878362678),1854 (494),189.1173139158576 (-187.3822202190944),2222 (968),173.80535553555356 (-172.1674245010708)
Original,2531 (2744),128.65152113789017 (-126.89265857864847),1869 (479),189.22685928303906 (-187.49176558627585),2222 (968),175.3724122412241 (-173.73448120674135)
Original,2547 (2728),129.54201020808796 (-127.78314764884625),1870 (478),190.73983957219252 (-189.0047458754293),2222 (968),176.9394689468947 (-175.30153791241193)
Original,2567 (2708),130.23237241916635 (-128.47350985992463),1870 (478),192.35080213903743 (-190.6157084422742),2222 (968),178.50652565256524 (-176.86859461808248)
Original,2603 (2672),129.99615827890895 (-128.23729571966723),1879 (469),193.04337413517828 (-191.30828043841507),2238 (952),178.82551385165326 (-177.1875828171705)
Original,2681 (2594),127.76781051846326 (-126.00894795922156),1900 (448),192.5284210526316 (-190.79332735586837),2283 (907),176.47634691195796 (-174.8384158774752)
Original,2688 (2587),129.0688244047619 (-127.30996184552019),1900 (448),194.15947368421052 (-192.4243799874473),2288 (902),177.6737325174825 (-176.03580148299974)
Original,2781 (2494),126.00773103200288 (-124.24886847276117),1900 (448),195.79052631578946 (-194.05543261902625),2336 (854),175.6252140410959 (-173.98728300661313)
Original,2788 (2487),127.37015781922526 (-125.61129525998355),1900 (448),197.42157894736843 (-195.68648525060522),2336 (854),177.19948630136986 (-175.5615552668871)
Original,2791 (2484),128.732891436761 (-126.9740288775193),1900 (448),199.05263157894737 (-197.31753788218415),2336 (854),178.77375856164383 (-177.13582752716107)
Original,2802 (2473),129.90899357601714 (-128.15013101677542),1900 (448),200.6836842105263 (-198.9485905137631),2342 (848),179.9064901793339 (-178.26855914485114)
Original,2841 (2434),129.320309750088 (-127.5614471908463),1901 (447),202.2083114150447 (-200.4732177182815),2346 (844),180.50788576300084 (-178.86995472851808)
Original,2850 (2425),130.57105263157894 (-128.81219007233722),1901 (447),203.83850604944766 (-202.10341235268444),2346 (844),182.08994032395566 (-180.4520092894729)
Original,2867 (2408),131.33275200558074 (-129.57388944633902),1904 (444),205.14495798319328 (-203.40986428643006),2346 (844),183.67199488491048 (-182.0340638504277)
Original,2942 (2333),129.68439836845684 (-127.92553580921513),1905 (443),206.66614173228348 (-204.93104803552026),2347 (843),185.1759693225394 (-183.53803828805664)
Original,3013 (2262),128.3091603053435 (-126.5502977461018),1919 (429),206.75508077123501 (-205.0199870744718),2350 (840),186.5304255319149 (-184.89249449743212)
Original,3111 (2164),125.88444230151077 (-124.12557974226907),1946 (402),205.38566289825283 (-203.65056920148962),2394 (796),184.73224728487887 (-183.0943162503961)
Original,3120 (2155),127.21410256410256 (-125.45524000486085),1946 (402),207.032887975334 (-205.2977942785708),2402 (788),185.71398834304745 (-184.07605730856469)
Original,3149 (2126),127.75055573197841 (-125.9916931727367),1956 (392),207.59892638036808 (-205.86383268360487),2419 (771),186.02687060768912 (-184.38893957320636)
